,Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
11423,2019,Ford,Ranger,49945 km,Regular Cab,4 Cylinder Engine,Automatic,4WD,Hot Pepper Red Metallic Tinted Clearcoat,Black,,,Gas,11.8L/100km,9.8L/100km,35995
11424,2021,Ford,Bronco,36929 km,SUV,1.5L I3,Automatic,4x4,Gray,,,,Gas,9.3L/100km,8.3L/100km,36995
11425,2017,Ford,Mustang,75698 km,Convertible,5.0L V8,Automatic,RWD,Shadow Black,,,,Gas,15.5L - 16.7L/100km,10.2L - 10.3L/100km,38495
11426,2016,Ford,Focus,75628 km,Hatchback,4 Cylinder Engine,6 Speed Manual,AWD,Shadow Black,Black,5.0,4,Gas,,,38888
11427,2017,Ford,Mustang,75000 km,Coupe,8 Cylinder Engine,6 Speed Manual,RWD,Blue,Black,4.0,2,Gas,15.6L - 16.7L/100km,9.6L - 10.2L/100km,38995
11428,2020,Ford,Edge,30578 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,,,,,Gas,11.4L/100km,8.3L/100km,38995
11429,2017,Ford,Transit,182000 km,Van Extended,V6 Cylinder Engine,6 Speed Automatic,RWD,White,,2.0,3,Gas,16.7L/100km,13.0L/100km,40988
11430,2020,Ford,Explorer,48111 km,SUV,4 Cylinder Engine,Automatic,AWD,,,,2,Gas,11.6L/100km,8.7L/100km,45959
11431,2022,Ford,Bronco,7520 km,SUV,Intercooled Turbo Regular Unleaded I-4 2.3 L/140,,4x4,Shadow Black,,5.0,4,Gas,12.1L - 13.8L/100km,11.2L - 13.1L/100km,63600
11432,2022,Ford,Bronco,60 km,SUV,3 Cylinder Engine,8 Speed Automatic,4x4,Area 51,,,4,Gas,9.3L/100km,8.4L/100km,47099
11433,2019,Ford,F-150,76385 km,Truck,V6 Cylinder Engine,Automatic,4WD,White Platinum Metallic Tri-Coat,Cream,5.0,4,Gas,13.8L/100km,11.2L/100km,48000
11434,2022,Ford,Edge,17 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Agate Black Metallic,Black,,,Gas,11.5L/100km,8.4L/100km,48188
11435,2019,Ford,Expedition,118462 km,SUV,V6 Cylinder Engine,Automatic,4WD,White,Black,,,Gas,14.1L/100km,10.6L/100km,48800
11436,2022,Ford,Edge,63 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Star White Metallic Tri-Coat,Black,,,Gas,11.5L/100km,8.4L/100km,51399
11437,2019,Ford,F-150,47300 km,Truck,8 Cylinder Engine,Automatic,4x4,Agate Black,,5.0,4,Flexible,15.1L/100km,11.0L/100km,52995
11438,2020,Ford,F-150,49599 km,Truck,8 Cylinder Engine,Automatic,4x4,Oxford White,,5.0,4,Flexible,15.1L/100km,11.6L/100km,52995
11439,2022,Ford,F-150,18 km,Truck,8 Cylinder Engine,,4WD,Agate Black Metallic,,,,Flexible,14.8L/100km,10.9L/100km,57999
11440,2022,Ford,Mustang,21 km,Coupe,8 Cylinder Engine,,,Oxford White,White,,,Gas,15.3L - 16.2L/100km,9.8L - 10.0L/100km,59580
11441,2015,Ford,Escape,197472 km,SUV,Intercooled Turbo Regular Unleaded I-4 2.0 L/122,Automatic,FWD,,,5.0,4,Gas,10.4L - 10.9L/100km,7.4L - 8.0L/100km,15300
11442,2022,Ford,F-150,19 km,Truck,V6 Cylinder Engine,,4WD,Agate Black Metallic,,,,Gas,13.5L/100km,10.2L/100km,59588
11443,2021,Ford,F-150,31234 km,Regular Cab,V6 Cylinder Engine,Automatic,4WD,,,,2,Gas,12.8L/100km,10.0L/100km,67959
11444,2022,Ford,Mustang,1200 km,SUV,0,Automatic,AWD,Shadow Black,,,4,Electric,,,95888
11445,2022,Ford,F-150,4855 km,Crew Cab,0,Automatic,AWD,White,,,4,Electric,,,127888
11446,2014,Ford,Focus,216333 km,Hatchback,2.0L 4cyl,6 Speed Automatic with auto-shift,FWD,Tuxedo Black Metallic,Black,5.0,4,Gas,,,5695
11447,2014,Ford,Fiesta,190504 km,Hatchback,4 Cylinder Engine,Automatic,FWD,Tuxedo Black Metallic,,,5,Gas,,,5999
11448,2007,Ford,Ranger,78855 km,Truck,V6 Cylinder Engine,Automatic,RWD,Silver,Black,4.0,4,Gas,13.1L - 14.5L/100km,9.4L - 10.2L/100km,8999
11449,2008,Ford,Edge,91737 km,SUV,3.5,6 Speed Automatic,FWD,Creme Brulee Metallic,Grey,,4,Gas,12.8L/100km,8.4L/100km,11480
11450,2012,Ford,Fusion,91323 km,Sedan,4 Cylinder Engine,Automatic,FWD,Charcoal,Grey,5.0,4,Gas,9.0L - 9.4L/100km,6.0L - 6.9L/100km,11988
11451,2023,Ford,F-150,20 km,Truck,3.5L POWERBOOST HYBRID,10 Speed Automatic,4x4,Antimatter Blue Metallic,Blue,5.0,4,Gasoline Hybrid,9.8L/100km,9.7L/100km,103715
11452,2013,Ford,Fusion,128000 km,Sedan,2.5,6 Speed Automatic,FWD,White,Black,5.0,4,Gas,8.0L - 9.2L/100km,5.3L - 5.8L/100km,11990
11453,2015,Ford,Focus,125785 km,Hatchback,4 Cylinder Engine,,,Tuxedo Black Metallic,,,,Flexible,,,12195
11454,2014,Ford,Focus,120570 km,Sedan,4 Cylinder Engine,Automatic,FWD,Sterling Grey Metallic,Black,5.0,4,Gas,,,12888
11455,2015,Ford,Fusion,194614 km,Sedan,4 Cylinder Engine,Automatic,FWD,Tuxedo Black,,,4,Gas,9.4L - 10.6L/100km,6.3L - 7.0L/100km,12888
11456,2013,Ford,Escape,129894 km,SUV,1.6,Automatic,FWD,Tuxedo Black,Black,5.0,4,Gas,9.1L/100km,6.0L/100km,13888
11457,2019,Ford,Edge,31058 km,SUV,: Twin-Scroll 2.0L EcoBoost -inc: auto start-stop,8 Speed Automatic,AWD,Blue Metallic,,,,Gas,11.4L/100km,8.3L/100km,31919
11458,2018,Ford,Fusion,67498 km,Sedan,4 Cylinder Engine,Automatic,FWD,Ingot Silver Metallic,Black,5.0,4,Gas,11.3L/100km,7.4L/100km,19690
11459,2019,Ford,Edge,126310 km,SUV,2.0L 4cyl,8 Speed Automatic,FWD,Ingot Silver Metallic,Black,5.0,4,Premium Unleaded,10.9L/100km,8.0L/100km,24488
11460,2019,Ford,Escape,73500 km,SUV,4 Cylinder Engine,Automatic,FWD,Agate Black Metallic,Black,5.0,4,Gas,10.2L/100km,7.8L/100km,24690
11461,2019,Ford,Edge,95200 km,SUV,2.0,Automatic,AWD,White,Black,,4,Gas,11.4L/100km,8.3L/100km,29888
11462,2022,Ford,Mustang,21 km,Coupe,8 Cylinder Engine,,,Oxford White,White,,,Gas,15.3L - 16.2L/100km,9.8L - 10.0L/100km,59580
11463,2013,Ford,Edge,143168 km,SUV,V6 Cylinder Engine,Automatic,AWD,White Platinum Tri-Coat Metallic,Black,5.0,4,Gas,12.1L/100km,8.7L/100km,16990
11464,2019,Ford,Flex,147124 km,SUV,3.5L 6cyl,6 Speed Automatic,AWD,Grey,Beige,7.0,4,Gas,14.7L/100km,10.7L/100km,28888
11465,2022,Ford,Mustang,5 km,Coupe,8 Cylinder Engine,,RWD,,,4.0,2,Gas,15.3L - 16.2L/100km,9.8L - 10.0L/100km,48585
11466,2014,Ford,Fusion,94113 km,Sedan,2.0,Automatic,FWD,Ruby Red Metallic Tri-Coat,Black,5.0,4,Gas,9.2L/100km,5.8L - 5.9L/100km,15380
11467,2017,Ford,Focus,129300 km,Sedan,2.0,Automatic,FWD,Magnetic Metallic,Black,,4,Other,,,15888
11468,2014,Ford,Explorer,225331 km,SUV,3.5,Automatic,4x4,Tuxedo Black Metallic,Black,,4,Gas,,,15980
11469,2017,Ford,Escape,191035 km,SUV,1.5,6 Speed Automatic,FWD,Shadow Black,Black,,4,Gas,10.2L/100km,7.8L/100km,15980
11470,2018,Ford,Super,85080 km,,,,,White,,,,Gas,,,55800
11471,2016,Ford,Focus,76013 km,Sedan,2.0L 4cyl,6 Speed Manual,FWD,Ingot Silver Metallic,Grey,5.0,4,Gas,,,16880
11472,2016,Ford,Focus,81701 km,Hatchback,1.0,Automatic,FWD,Gray,Black,5.0,5,Gas,7.8L/100km,5.7L/100km,16888
11473,2017,Ford,Escape,172520 km,SUV,4 Cylinder Engine,Automatic,4x4,Grey,Tan,,4,Gas,10.7L/100km,8.3L/100km,16985
11474,2014,Ford,Escape,75000 km,SUV,4 Cylinder,Automatic,4x4,Sterling Grey Metallic,Beige,5.0,4,Gas,9.2L - 9.8L/100km,6.6L - 7.1L/100km,17499
11475,2016,Ford,Focus,10001 km,Sedan,4 Cylinder Engine,6 Speed Manual,FWD,Oxford White,,5.0,4,Flexible,,,18801
11476,2017,Ford,Escape,123000 km,SUV,4 Cylinder Engine,6 Speed Automatic,FWD,White,Black,5.0,4,Gas,10.2L/100km,7.8L/100km,18950
11477,2017,Ford,Focus,81900 km,Sedan,2.0,Automatic,FWD,White Platinum Metallic Tri-Coat,Black,,4,Other,,,19888
11478,2018,Ford,Escape,186789 km,SUV,4 Cylinder Engine 1.5L,Automatic,4x4,White Gold,,,4,Gas,10.7L/100km,8.3L/100km,19995
11479,2018,Ford,Focus,19101 km,Sedan,2.0,Automatic,FWD,Shadow Black,Black,5.0,4,Other,,,20888
11480,2016,Ford,Mustang,31002 km,Coupe,Moteur Ã  8 cylindres 5.2L,Manual,RWD,Grey,Black,,2,Gas,16.9L/100km,11.0L/100km,84991
11481,2019,Ford,Escape,76600 km,SUV,4 Cylinder Engine,Automatic,4WD,Magnetic,Black,,,Gas,11.2L - 11.5L/100km,8.4L - 8.7L/100km,20995
11482,2017,Ford,Escape,103980 km,SUV,1.5,6 Speed Automatic,FWD,White,Grey,5.0,5,Gas,10.2L/100km,7.8L/100km,21888
11483,2020,Ford,Escape,65697 km,SUV,1.5L 3cyl,8 Speed Automatic,AWD,White,Grey,5.0,4,Premium Unleaded,,,25899
11484,2018,Ford,Edge,104219 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,,,5.0,4,Gas,11.9L/100km,8.7L/100km,27995
11485,2020,Ford,Fusion,59350 km,Sedan,4 Cylinder Engine,Automatic,FWD,Agate Black,Black,,,Gas,5.5L/100km,5.7L/100km,29995
11486,2021,Ford,Escape,34285 km,SUV,Intercooled Turbo Regular Unleaded I-3 1.5 L/91,Automatic,AWD,Desert Gold Metallic,,5.0,4,Gas,9.0L/100km,7.6L/100km,34887
11487,2019,Ford,F-150,61000 km,Regular Cab,V6 Cylinder Engine,Automatic,4WD,White,Grey,,,Gas,,,35900
11488,2019,Ford,F-150,53177 km,Regular Cab,V6 Cylinder Engine,Automatic,4WD,White,Grey,,,Gas,12.7L - 12.8L/100km,9.8L - 10.2L/100km,35995
11489,2018,Ford,F-150,123020 km,Truck,V6 Cylinder Engine,,4WD,Gray,Black,,,Gas,,,42888
11490,2018,Ford,EcoSport,151981 km,SUV,2.0L I4 Ti-VCT GDI,Automatic,4x4,M3r,Black,,4,Gas,10.2L/100km,8.0L/100km,16908
11491,2022,Ford,Bronco,25 km,SUV,3 Cylinder Engine,8 Speed Automatic,4x4,Cactus Grey,Black,,4,Gas,9.3L/100km,8.4L/100km,43744
11492,2022,Ford,Bronco,43 km,SUV,3 Cylinder Engine,8 Speed Automatic,4x4,Area 51,Black,,4,Gas,9.3L/100km,8.4L/100km,43744
11493,2022,Ford,Bronco,23 km,SUV,3 Cylinder Engine,8 Speed Automatic,4x4,Area 51,Black,,4,Gas,9.3L/100km,8.4L/100km,43744
11494,2019,Ford,F-150,46500 km,Truck,8 Cylinder Engine,Automatic,4x4,Agate Black,,5.0,4,Flexible,15.1L/100km,11.0L/100km,52995
11495,2022,Ford,Bronco,8000 km,SUV,4 Cylinder Engine,,AWD,,,,,Gas,11.6L - 13.8L/100km,10.7L - 13.1L/100km,56995
11496,2022,Ford,F-150,23 km,Truck,V6 Cylinder Engine,,4WD,Oxford White,,,,Gas,13.5L/100km,10.2L/100km,58043
11497,2020,Ford,F-250,58928 km,Regular Cab,8 Cylinder Engine,Automatic,4WD,,,,,Gas,,,59800
11498,2019,Ford,Expedition,94492 km,SUV,: 3.5L V6 EcoBoost -inc: auto start-stop technolog,6 Speed Automatic,4WD,Grey,,,,Gas,14.7L/100km,11.2L/100km,61988
11499,2022,Ford,Mustang,0 km,Convertible,8 Cylinder Engine,,RWD,Cyber Orange Metallic Tri-Coat,Grey,,2,Gas,15.8L/100km,10.4L/100km,74135
11500,2019,Ford,Escape,56756 km,SUV,4 Cylinder Engine,Automatic,FWD,Ruby Red Metallic Tinted Clearcoat,,,2,Gas,10.2L/100km,7.8L/100km,27995
11501,2022,Ford,F-150,12150 km,Truck,0,Automatic,4WD,Agate Black Metallic,,,,Electric,,,108888
11502,2022,Ford,F-150,2100 km,Truck,0,Automatic,4WD,,,,,Electric,,,117888
11503,2017,Ford,Escape,107233 km,SUV,4 Cylinder Engine,Automatic,4x4,Shadow Black,,,4,Gas,10.7L/100km,8.3L/100km,25888
11504,2007,Ford,Escape,193025 km,SUV,V6 Cylinder Engine 3.0L,Automatic,4x4,Dune Pearl Metallic,,,4,Gas,12.5L/100km,9.4L/100km,5995
11505,2008,Ford,Escape,157009 km,SUV,V6 Cylinder Engine,4 Speed Automatic,FWD,Brown,Black,5.0,4,Gas,11.7L/100km,8.2L/100km,6500
11506,2010,Ford,Escape,155671 km,SUV,V6 Cylinder Engine,6 Speed Automatic,AWD,Black,,,4,Flexible,11.6L/100km,8.8L/100km,6500
11507,2006,Ford,F-150,286749 km,Truck Crew Cab,5.4,4 Speed Automatic,FWD,Arizona Beige Metallic,Black,,4,Gas,16.5L/100km,11.7L - 12.3L/100km,6980
11508,2011,Ford,Focus,150232 km,Sedan,4 Cylinder Engine,Automatic,FWD,White Suede,Black,5.0,4,Gas,8.0L - 8.2L/100km,5.6L - 5.8L/100km,7988
11509,2013,Ford,Focus,197970 km,Sedan,4 Cylinder Engine 2.0L,6 Speed Automatic,FWD,White Platinum Metallic Tri-Coat,,,4,Flexible,,,7995
11510,2016,Ford,Fusion,170026 km,Sedan,Intercooled Turbo Regular Unleaded I-4 2.0 L/122,Automatic,AWD,Shadow Black,,5.0,4,Gas,10.8L/100km,7.5L/100km,16500
11511,2012,Ford,Focus,93568 km,Hatchback,4 Cylinder Engine,Automatic,FWD,Red,Beige,5.0,4,Other,7.3L - 7.8L/100km,5.2L - 5.5L/100km,9499
11512,2015,Ford,Fiesta,132000 km,Hatchback,1.6,Automatic,FWD,Red,Light Grey,5.0,4,Gas,,,9998
11513,2011,Ford,Escape,107702 km,SUV,I-4 cyl,6 Speed Manual,FWD,Grey,Black,,,Gas,9.1L - 10.0L/100km,7.1L/100km,9999
11514,2013,Ford,F-150,263358 km,Truck Extended Cab,5.0,6 Speed Automatic,RWD,Tuxedo Black Metallic,Black,,2,Other,,,10980
11515,2013,Ford,Fusion,134446 km,Sedan,I-4 cyl,Automatic,FWD,Tuxedo Black Metallic,Black,,,Regular Unleaded,8.7L/100km,5.5L/100km,11797
11516,2014,Ford,Explorer,209731 km,SUV,V6 Cylinder Engine,Automatic,FWD,White,Black,7.0,4,Gas,12.2L/100km,8.2L/100km,13888
11517,2015,Ford,Focus,46890 km,Hatchback,3 Cylinder Engine,,FWD,Beige,,5.0,4,Gas,,,14588
11518,2012,Ford,Explorer,166923 km,SUV,V6 Cylinder Engine 3.5L,Automatic,4x4,,Grey,,4,Gas,12.5L/100km,8.8L/100km,14888
11519,2016,Ford,Focus,86452 km,Hatchback,2.0L I4 FI DOHC 16V,Automatic,,Grey,Black,,2,Flexible,,,15299
11520,2018,Ford,Escape,94501 km,SUV,4 Cylinder Engine,Automatic,4WD,,,,,Gas,10.7L/100km,8.3L/100km,22399
11521,2014,Ford,F-150,164846 km,Truck,V-8 cyl,6 Speed Automatic,4WD,Sterling Grey Metallic,,,,Flexible,,,16500
11522,2018,Ford,EcoSport,79947 km,SUV,I-4 cyl,6 Speed Automatic,4x4,,,,,Regular Unleaded,,,23997
11523,1988,Ford,Mustang,37850 km,Convertible,8 Cylinder Engine,Manual,,,,,,Gas,,,33888
11524,2018,Ford,F-150,82350 km,Regular Cab,8 Cylinder Engine,Automatic,4WD,Shadow Black,Black,,,Regular Unleaded,14.6L/100km,10.9L/100km,35995
11525,2016,Ford,GRUMMAN,254374 km,,,,,White,,,,Gas,,,36800
11526,2022,Ford,Escape,0 km,SUV,1.5L L3,8 Speed Automatic,4WD,Blue,,,2,Gas,9.0L/100km,7.6L/100km,36999
11527,2020,Ford,Escape,73688 km,SUV,2.5,CVT,AWD,Magnetic Metallic,Black,5.0,4,Gasoline Hybrid,5.5L/100km,6.4L/100km,38888
11528,2021,Ford,F-150,86543 km,Extended Cab,3.3L Ti-VCT V6,Automatic,4x4,Oxford White,Grey,6.0,4,Gas,12.5L/100km,10.7L/100km,40500
11529,2021,Ford,Mustang,47745 km,Coupe,5.0L V8 Ti-VCT,Manual,,Red,,,,Gas,,,43888
11530,2021,Ford,Mustang,10201 km,Coupe,480HP 5.0L 8 Cylinder Engine,Automatic,RWD,Race Red,,4.0,2,Gas,15.3L - 16.6L/100km,10.1L - 10.5L/100km,78995
11531,2019,Ford,Mustang,53418 km,Sedan,: 5.0L Ti-VCT V8 -inc: port fueled direct injectio,,,,Black,,,Gas,16.1L/100km,9.9L/100km,44888
11532,2019,Ford,F-150,37300 km,Truck,6 Cylinder Engine,10 Speed Automatic,4x4,Agate Black,Black,5.0,4,Flexible,14.2L/100km,10.4L/100km,45777
11533,2020,Ford,Transit,26322 km,,,,,White,,,,Gas,,,46800
11534,2020,Ford,F-150,42986 km,Truck,V6 Cylinder Engine,,4WD,,,,,Gas,12.9L - 15.1L/100km,10.2L - 11.6L/100km,46995
11535,2020,Ford,F-150,47520 km,Crew Cab,Regular Unleaded 3.5 L EcoBoost,Automatic,4x4,Grey,Grey,5.0,4,Gas,12.9L - 15.1L/100km,10.2L - 11.6L/100km,47594
11536,2018,Ford,F-150,74800 km,Truck,V6 Cylinder Engine,10 Speed Automatic,4x4,White,Black,6.0,4,Diesel,11.8L/100km,9.3L/100km,47777
11537,2005,Ford,Mustang,24883 km,Coupe,v8,Manual,RWD,Blue,Black,5.0,2,Gas,13.3L - 14.0L/100km,8.8L - 9.2L/100km,48910
11538,2013,Ford,Mustang,40364 km,Coupe,8 Cylinder Engine,6 Speed Manual,RWD,School Bus Yellow,Black,4.0,2,Gas,13.8L/100km,7.9L/100km,52985
11539,2018,Ford,Super,85080 km,,,,,White,,,,Gas,,,55800
11540,2022,Ford,F-150,1206 km,Crew Cab,ELECTRIC,Automatic,AWD,Blue,Grey,5.0,4,Electric,,,112700
11541,1990,Ford,Mustang,13903 km,Hatchback,5.0L 8cyl,Manual,RWD,Red,Grey,4.0,2,Gas,,,55900
11542,2020,Ford,F-150,61754 km,Truck,V6 Cylinder Engine,,4WD,,,,,Gas,13.1L/100km,10.2L/100km,55995
11543,2022,Ford,Mustang,6889 km,Coupe,5.0L 8cyl,10 Speed Automatic,RWD,Grey,Black,4.0,2,Premium Unleaded,15.3L - 16.2L/100km,9.8L - 10.0L/100km,56999
11544,2022,Ford,F-150,,Regular Cab,V6 Cylinder Engine,10 Speed Automatic,4x4,,,5.0,2,Gas,13.5L/100km,10.2L/100km,57365
11545,2019,Ford,Transit,72542 km,,,,,White,,,,Gas,,,57800
11546,2020,Ford,Transit,50796 km,,,,,White,,,,Gas,,,59800
11547,2018,Ford,E,71807 km,,,,,White,,,,Gas,,,59800
11548,2022,Ford,F-150,3205 km,Crew Cab,2.7L 6cyl,10 Speed Automatic,4x4,Grey,Black,6.0,4,Gas,12.8L/100km,10.0L/100km,61699
11549,2023,Ford,F-150,63 km,Truck,V6 Cylinder Engine,,4WD,Oxford White,,,,Gas,13.5L/100km,10.2L/100km,63270
11550,2020,Ford,Escape,29500 km,SUV,2.0 L/122,Automatic,AWD,Ingot Silver Metallic,Black,5.0,4,Gas,10.4L/100km,7.5L/100km,39995
11551,2019,Ford,Transit,64512 km,,,,,White,,,,Gas,,,63800
11552,2020,Ford,Transit,40937 km,,,,,White,,,,Gas,,,65800
11553,2020,Ford,Transit,55675 km,,,,,White,,,,Gas,,,65800
11554,2019,Ford,F-250,33758 km,,,,,White,,,,Gas,,,65800
11555,2020,Ford,Transit,15365 km,,,,,White,,,,Gas,,,67800
11556,2021,Ford,F-250,77368 km,,,,,White,,,,Gas,,,68800
11557,2019,Ford,F-250,63153 km,,,,,White,,,,Gas,,,68800
11558,2021,Ford,Super,66902 km,,,,,White,,,,Gas,,,68800
11559,2019,Ford,F-250,56127 km,,,,,White,,,,Gas,,,68800
11560,2023,Ford,Transit-350,558 km,Minivan,3.5L 6cyl,10 Speed Automatic,AWD,Oxford White,Black,2.0,3,Gas,,,83995
11561,2022,Ford,F-150,19646 km,Truck,5.0L V8,,4WD,Blue,Black,,,Flexible,14.8L/100km,10.9L/100km,69495
11562,2020,Ford,F-250,59302 km,,,,,White,,,,Gas,,,69800
11563,2020,Ford,F-250,42715 km,,,,,White,,,,Gas,,,69800
11564,2012,Ford,Mustang,28737 km,Coupe,5.0L 8cyl,6 Speed Manual,RWD,Ebony Black,Black,4.0,2,Premium Unleaded,12.2L/100km,7.6L/100km,69888
11565,2019,Ford,Super,71458 km,,,,,White,,,,Gas,,,71800
11566,2019,Ford,Super,61687 km,,,,,White,,,,Gas,,,74800
11567,2022,Ford,F-150,20542 km,Truck,3.5L 6cyl,10 Speed Automatic,4x4,Grey,Black,5.0,4,Gasoline Hybrid,9.8L/100km,9.7L/100km,74998
11568,2019,Ford,Super,62854 km,,,,,White,,,,Gas,,,78800
11569,2022,Ford,Bronco,5850 km,SUV,2.7,Automatic,AWD,Iconic Silver Metallic,,,,Gas,12.8L/100km,11.9L/100km,78888
11570,2019,Ford,Edge,64261 km,SUV,4 Cylinder Engine,Automatic,AWD,GRAY,,,2,Gas,11.4L/100km,8.3L/100km,36995
11571,2021,Ford,Super,60252 km,,,,,White,,,,Gas,,,79800
11572,2022,Ford,F-250,31912 km,,,,,White,,,,Diesel,,,79800
11573,2021,Ford,Super,61597 km,,,,,White,,,,Gas,,,79800
11574,2019,Ford,Transit,66588 km,,,,,White,,,,Gas,,,79800
11575,2019,Ford,F-250,68784 km,,,,,White,,,,Gas,,,79800
11576,2019,Ford,F-250,68784 km,,,,,White,,,,Gas,,,79800
11577,2019,Ford,Edge,31058 km,SUV,: Twin-Scroll 2.0L EcoBoost -inc: auto start-stop,8 Speed Automatic,AWD,Blue Metallic,,,,Gas,11.4L/100km,8.3L/100km,31919
11578,2022,Ford,Mustang,8201 km,,Electric Motor,Automatic,AWD,Dark Matter Grey Metallic,,5.0,,Electric,,,81565
11579,2022,Ford,Escape,11535 km,SUV,3 Cylinder Engine,8 Speed Automatic,AWD,Agate Black Metallic,Grey,,4,Gas,9.0L/100km,7.6L/100km,34988
11580,2022,Ford,Edge,63 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Star White Metallic Tri-Coat,Black,,,Gas,11.5L/100km,8.4L/100km,51399
11581,2023,Ford,F-150,63 km,Truck,V6 Cylinder Engine,,4WD,Oxford White,,,,Gas,13.5L/100km,10.2L/100km,63270
11582,2019,Ford,Edge,119429 km,SUV,4 Cylinder Engine,Automatic,FWD,Ingot Silver Metallic,Black,5.0,4,Gas,10.9L/100km,8.0L/100km,24990
11583,2015,Ford,Fiesta,145170 km,Sedan,1.0L 3cyl,5 Speed Automatic,FWD,Magnetic Metallic,Black,5.0,4,Gas,8.4L - 8.7L/100km,6.2L - 6.5L/100km,10888
11584,2022,Ford,Mustang,5 km,Coupe,8 Cylinder Engine,,RWD,,,4.0,2,Gas,15.3L - 16.2L/100km,9.8L - 10.0L/100km,48585
11585,2020,Ford,Explorer,88576 km,SUV,4 Cylinder Engine,10 Speed Automatic,4x4,White,Black,7.0,4,Gas,11.6L/100km,8.7L/100km,42987
11586,2021,Ford,Mustang,55 km,Coupe,5,Manual,RWD,Race Red,Black,,2,Gas,15.3L - 16.6L/100km,10.1L - 10.5L/100km,79888
11587,2022,Ford,Bronco,3575 km,SUV,2.7,Automatic,4x4,Shadow Black,,,2,Gas,12.8L - 14.1L/100km,11.9L - 14.1L/100km,82888
11588,2019,Ford,Transit,82105 km,,,,,White,,,,Gas,,,83800
11589,2020,Ford,Transit,65365 km,,,,,White,,,,Gas,,,86800
11590,2021,Ford,Bronco,23458 km,SUV,Twin Turbo Regular Unleaded V-6 2.7 L/164,,4x4,Shadow Black,,5.0,4,Gas,12.8L - 14.0L/100km,11.6L - 13.9L/100km,67100
11591,2020,Ford,F-350,73185 km,Crew Cab,8,Automatic,4x4,White,,,,Diesel,,,87900
11592,2022,Ford,Bronco,10163 km,SUV,V6 Cylinder Engine,Automatic,4x4,,,5.0,4,Gas,12.8L - 14.0L/100km,11.6L - 13.9L/100km,91995
11593,2022,Ford,F-150,2689 km,Truck,Electric Motor,Automatic,AWD,Grey,,,4,Electric,,,94999
11594,2022,Ford,Super,88005 km,,,,,White,,,,Gas,,,96800
11595,2020,Ford,F-150,65111 km,Truck,V6 Cylinder Engine,Automatic,4x4,Gray,Black,5.0,4,Gas,15.3L/100km,13.1L/100km,96888
11596,2022,Ford,F-150,223 km,Truck,0,Automatic,AWD,Agate Black Metallic,,,4,Electric,,,98380
11597,2021,Ford,Super,74475 km,,,,,White,,,,Gas,,,102800
11598,2020,Ford,Mustang,2275 km,Coupe,5.2,Automatic,RWD,Shadow Black,Black,,2,Gas,19.9L/100km,12.7L/100km,132888
11599,2020,Ford,Mustang,25 km,Coupe,5.2L 8 Cyl,Manual,RWD,White,Black,4.0,2,Gas,17.1L/100km,11.4L/100km,159888
11600,2020,Ford,Explorer,43051 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.3 L/140,Automatic,4x4,Blue,,6.0,4,Gas,11.6L/100km,8.7L/100km,41800
11601,1968,Ford,Mustang,96560 km,Coupe,8 Cylinder,4 Speed Manual,RWD,White,Black,,2,Gas,,,499000
11602,2006,Ford,GT,55 km,Coupe,8 Cylinder,6 Speed Manual,RWD,Mark IV Red Clearcoat,Black,,2,Gas,,,699800
11603,2018,Ford,Fusion,156663 km,Sedan,2.0,Automatic,FWD,Blue,Black,5.0,4,Gasoline Hybrid,5.5L/100km,5.7L/100km,23995
11604,2010,Ford,Escape,222000 km,SUV,2.5L,Automatic,,,,,,,,,4950
11605,2012,Ford,Fiesta,187240 km,Sedan,4 Cylinder Engine,Automatic,FWD,Blue Candy Metallic Tintcoat,Grey,,,Regular Unleaded,6.8L - 6.9L/100km,4.9L - 5.1L/100km,4995
11606,2008,Ford,Fusion,118000 km,Sedan,2.3,4 Speed Automatic,FWD,White,Beige,5.0,5,Gas,,,5699
11607,2007,Ford,Explorer,225000 km,Crew Cab,4.6,Automatic,4x4,Blue,Grey,,4,Gas,16.8L/100km,11.0L/100km,6995
11608,2014,Ford,Flex,262655 km,SUV,V6 Cylinder Engine,Automatic,AWD,White,Black,7.0,4,Gas,13.1L/100km,8.8L/100km,8999
11609,2008,Ford,Ranger,178756 km,Truck,V6 Cylinder Engine,,RWD,Oxford White,,,2,Gas,13.1L - 14.3L/100km,9.3L - 10.0L/100km,9845
11610,2019,Ford,F-250,68784 km,,,,,White,,,,Gas,,,79800
11611,2015,Ford,Fusion,210717 km,Sedan,2.0,Automatic,FWD,Ingot Silver,Black,,4,Gas,10.5L/100km,7.0L/100km,13480
11612,2014,Ford,Focus,157000 km,Hatchback,2.0,Manual,FWD,Black,Black,5.0,4,Gas,8.9L/100km,6.2L/100km,16500
11613,2015,Ford,Edge,127000 km,,,Automatic,AWD,Grey,,,5 doors,Gasoline,,,17147
